PRODUCTS,PRICE,STOCKS,CATEGORIES,MARKET,LATITUDE,LONGITUDE
Surf Active Clean (1100g),₱118.00,250,POWDER,TFA SUPERMARKET,11.45409845,123.1523644
Surf Cherry Blossom (1100g),₱117.00,254,POWDER,TFA SUPERMARKET,11.45409845,123.1523644
Surf Sun Fresh (2200g),₱233.00,195,POWDER,TFA SUPERMARKET,11.45409845,123.1523644
Surf Cherry Blossom (2200g),₱236.00,350,POWDER,TFA SUPERMARKET,11.45409845,123.1523644
EQ Pants Small (3-7kg),₱329.00,150,DIAPER,TFA SUPERMARKET,11.45409845,123.1523644
EQ Pants XXXL (15kg),₱283.50,100,DIAPER,TFA SUPERMARKET,11.45409845,123.1523644
EQ Pants XXL (15kg),₱92.00,90,DIAPER,TFA SUPERMARKET,11.45409845,123.1523644
EQ Pants New Born (7kg),₱101.75,210,DIAPER,TFA SUPERMARKET,11.45409845,123.1523644
Lucky Me Pancit Canton (120g),₱18.50,100,NOODLES,TFA SUPERMARKET,11.45409845,123.1523644
Lucky Me Pancit Canton Extra Hot (120g),₱18.50,200,NOODLES,TFA SUPERMARKET,11.45409845,123.1523644
Payless Extra Big Pancit Canton(120g),₱18.50,185,NOODLES,TFA SUPERMARKET,11.45409845,123.1523644
Payless Extra Big Sweet & Spicy(120g),₱18.50,250,NOODLES,TFA SUPERMARKET,11.45409845,123.1523644
Payless Extra Big Chilimansi(120g),₱18.50,100,NOODLES,TFA SUPERMARKET,11.45409845,123.1523644
Nissin Cup Noodles (40g),₱21.75,70,NOODLES,TFA SUPERMARKET,11.45409845,123.1523644
Nissin Cup Noodles Spicy Seafood(40g),₱21.75,95,NOODLES,TFA SUPERMARKET,11.45409845,123.1523644
Nissin Cup Noodles Hot Cheesy(40g),₱21.75,90,NOODLES,TFA SUPERMARKET,11.45409845,123.1523644
Frootees Grapes (32g),₱58.75,120,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Frootees Apple (32g),₱58.75,100,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Wafer Time Strawberry (11g),₱45.75,150,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Doowee Donut Choco (190g),₱100.50,250,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Doowee Donut Milk (190g),₱100.50,230,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Cream-O Vanilla (30g),₱68.00,120,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Cream-O Choco(30g),₱68.00,95,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Cream-O Crinkles(30g),₱68.00,100,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Presto Peanut Butter (30g),₱59.75,180,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Nissin Waffer (30g),₱13.95,195,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Bingo Vanilla (20g),₱57.95,200,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Fita (80g),₱17.25,230,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Graham Cakes (200g),₱40.95,150,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Rebisco Strawberry (33g),₱56.75,90,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Rebisco Butter (33g),₱56.75,90,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Cloud 9 (50g),₱182.00,200,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Cloud 9 Peanut Butter (50g),₱182.00,150,BISCUIT,TFA SUPERMARKET,11.45409845,123.1523644
Silka (65g),₱34.95,85,SOAP,TFA SUPERMARKET,11.45409845,123.1523644
Silka (135g),₱78.00,75,SOAP,TFA SUPERMARKET,11.45409845,123.1523644
Silka (90g),₱79.50,70,SOAP,TFA SUPERMARKET,11.45409845,123.1523644
Dove Pink (135g),₱78.00,90,SOAP,TFA SUPERMARKET,11.45409845,123.1523644
Dove Original (100g),₱79.50,100,SOAP,TFA SUPERMARKET,11.45409845,123.1523644
Dove White (135g),₱78.00,120,SOAP,TFA SUPERMARKET,11.45409845,123.1523644
Palmolive (115g),₱41.75,90,SOAP,TFA SUPERMARKET,11.45409845,123.1523644
Palmolive Papaya (115g),₱41.75,110,SOAP,TFA SUPERMARKET,11.45409845,123.1523644
Palmolive Natural White (115g),₱41.75,95,SOAP,TFA SUPERMARKET,11.45409845,123.1523644
Mang Tomas (325g),₱30.75,83,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Andoks Litson Sauce (340g),₱38.50,112,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
PAPA Banana Ketchup (530g),₱40.75,213,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
UFC Banana Ketchup (530g),₱43.50,189,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
UFC Tamis Anghang (320g),₱43.50,78,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Mothers Best Sweet & Chili Sauce (340g),₱27.95,111,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Mothers Best  Barbecue Marinade(350ml),₱41.75,56,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Mothers Best Oyster Sauce (400g),₱91.95,98,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Datu Puti BBQ-rrific (350ml),₱99.75,76,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Datu Puti Oysterrific (430g),₱77.75,79,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Datu Puti Vinegar(20ml),₱95.00,180,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Datu Puti Soy Sauce (20ml),₱23.00,185,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Jolly Mushroom Whole (198g),₱23.50,88,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Jolly Young Corn Whole (425g),₱38.00,95,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Jolly Green Peas (155g),₱59.75,95,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Golden Fiesta Oil (1L),₱273.50,200,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Golden Fiesta (500g),₱135.75,240,SAUCE,TFA SUPERMARKET,11.45409845,123.1523644
Bear Brand Adult Plus (1kg),₱440.00,150,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Bear Brand Fortified (90g),₱299.50,200,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Bear Brand Fortified (453g),₱688.50,300,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Bear Brand Junior+ (1.5kg),₱525.00,200,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Bear Brand Junior+ (1.2kg),₱426.00,150,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Bear Brand Choco (840g),₱299.50,380,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Bear Brand Choco (300g),₱110.00,350,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Alaska Fortified Powder (900g),₱280.00,200,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Alaska Fortified Powder (300g),₱101.50,150,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Alaska Fortified Powder (33g),₱108.00,125,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Anlene(990g),₱696.85,250,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Anlene (1.8kg),"₱1,008.00",360,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Anlene (600g),₱340.00,198,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Anlene (980g),₱536.75,254,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Milo (300g),₱98.00,200,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Milo(480g),₱137.60,150,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Milo(24g),₱107.75,100,MILK,GAISANO GRAND MALL,11.45449116,123.1521343
Oreo(27.6g),₱59.00,127,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Oreo(28.6g),₱59.00,102,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Oreo(119g),₱74.50,98,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Sky Flakes (25g),₱84.00,112,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Sky Flakes Onion(25g),₱129.75,112,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Graham Choco(285g),₱59.75,202,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Graham Crushed(200g),₱48.15,87,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Graham Honey(210g),₱43.00,99,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Fita Original(30g),₱40.25,116,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Fita Crackers(30g),₱56.00,120,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Fita Slugs(80g),₱82.00,233,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Bingo Choco(28g),₱16.75,314,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Bingo Original(28g),₱58.50,220,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Bingo Vanilla(75g),₱58.50,137,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Fudgee Bar Milk(41g),₱17.50,345,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Fudgee Bar Combo(41g),₱76.50,426,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Doowee Donut Strawberry (41g),₱76.50,231,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
Doowee Donut Choco(41g),₱100.50,213,BISCUIT,GAISANO GRAND MALL,11.45449116,123.1521343
